provider_city,provider_city_id
MAUMEE,1070
MAUSTON,1071
MAYFIELD,1072
MAYFIELD HEIGHT,1073
MAYSVILLE,1074
MAYWOOD,1075
MC KEESPORT,1076
MC KENZIE,1077
MC KINNEY,1078
MC MINNVILLE,1079
MCALESTER,1080
MCALLEN,1081
MCCOMB,1082
MCHENRY,1083
MCKEES ROCKS,1084
MCKINNEY,1085
MCMINNVILLE,1086
MCPHERSON,1087
MEADOWBROOK,1088
MEADVILLE,1089
MECHANICSVILLE,1090
MEDFORD,1091
MEDIA,1092
MEDINA,1093
MELBOURNE,1094
MELROSE,1095
MELROSE PARK,1096
MEMPHIS,1097
MENA,1098
MENOMONEE FALLS,1099
MEQUON,1100
MERCED,1101
MERIDEN,1102
MERIDIAN,1103
MESA,1104
MESQUITE,1105
METAIRIE,1106
METHUEN,1107
MEXIA,1108
MEXICO,1109
MIAMI,1110
MIAMI BEACH,1111
MIAMISBURG,1112
MICHIGAN CITY,1113
MIDDLEBURG HEIG,1114
MIDDLESBORO,1115
MIDDLETOWN,1116
MIDLAND,1117
MIDLOTHIAN,1118
MIDWEST CITY,1119
MILAN,1120
MILFORD,1121
MILLEDGEVILLE,1122
MILLERSBURG,1123
MILTON,1124
MILWAUKEE,1125
MILWAUKIE,1126
MINDEN,1127
MINEOLA,1128
MINERAL WELLS,1129
MINNEAPOLIS,1130
MINOT,1131
MIRAMAR,1132
MIRAMAR BEACH,1133
MISHAWAKA,1134
MISSION,1135
MISSION HILLS,1136
MISSION VIEJO,1137
MISSOULA,1138
MITCHELL,1139
MOBERLY,1140
MOBILE,1141
MODESTO,1142
MONONGAHELA,1143
MONROE,1144
MONROEVILLE,1145
MONTCLAIR,1146
MONTEBELLO,1147
MONTEREY,1148
MONTEREY PARK,1149
MONTEZUMA,1150
MONTGOMERY,1151
MONTICELLO,1152
MONTROSE,1153
MOORESVILLE,1154
MOREHEAD,1155
MOREHEAD CITY,1156
MORENO VALLEY,1157
MORGAN CITY,1158
MORGANTON,1159
MORGANTOWN,1160
MORRIS,1161
MORRISTOWN,1162
MOSES LAKE,1163
MOULTON,1164
MOULTRIE,1165
MOUNDRIDGE,1166
MOUNT AIRY,1167
MOUNT CLEMENS,1168
MOUNT HOLLY,1169
MOUNT KISCO,1170
MOUNT PLEASANT,1171
MOUNT STERLING,1172
MOUNT VERNON,1173
MOUNTAIN HOME,1174
MOUNTAIN VIEW,1175
MULLINS,1176
MUNCIE,1177
MUNSTER,1178
MURFREESBORO,1179
MURPHY,1180
MURRAY,1181
MURRELLS INLET,1182
MURRIETA,1183
MUSCATINE,1184
MUSCLE SHOALS,1185
MUSKEGON,1186
MUSKOGEE,1187
MYRTLE BEACH,1188
NACOGDOCHES,1189
NAMPA,1190
NANTUCKET,1191
NAPA,1192
NAPERVILLE,1193
NAPLES,1194
NASHUA,1195
